,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,fact1,fact2,answer
109,The place of birth of Chris Kraus is,The place of birth of the director of The Poll Diaries is,Chris Kraus,the director of The Poll Diaries,"['The Poll Diaries', 'director', 'Chris Kraus']","['Chris Kraus', 'place of birth', 'Göttingen']",Göttingen
110,The date of birth of Joseph-Stanislas Perrault is,The date of birth of the father of Joseph-Édouard Perrault is,Joseph-Stanislas Perrault,the father of Joseph-Édouard Perrault,"['Joseph-Édouard Perrault', 'father', 'Joseph-Stanislas Perrault']","['Joseph-Stanislas Perrault', 'date of birth', 'May 13, 1846']","May 13, 1846"
111,The place of death of Ang It-hong is,The place of death of the father of Eric Hung is,Ang It-hong,the father of Eric Hung,"['Eric Hung', 'father', 'Ang It-hong']","['Ang It-hong', 'place of death', 'Taipei Medical University Hospital']",Taipei Medical University Hospital
112,The place of death of Krzysztof Szydłowiecki is,The place of death of the father of Elżbieta Szydłowiecka is,Krzysztof Szydłowiecki,the father of Elżbieta Szydłowiecka,"['Elżbieta Szydłowiecka', 'father', 'Krzysztof Szydłowiecki']","['Krzysztof Szydłowiecki', 'place of death', 'Kraków']",Kraków
113,The place of birth of Craig Moss is,The place of birth of the director of Dispatch is,Craig Moss,the director of Dispatch,"['Dispatch', 'director', 'Craig Moss']","['Craig Moss', 'place of birth', 'American']",American
114,The place of birth of Leticia Dolera is,The place of birth of the director of Requirements To Be A Normal Person is,Leticia Dolera,the director of Requirements To Be A Normal Person,"['Requirements To Be A Normal Person', 'director', 'Leticia Dolera']","['Leticia Dolera', 'place of birth', 'Barcelona']",Barcelona
115,"The place of death of Richard Neville, 2nd Baron Latimer is",The place of death of the father of William Neville is,"Richard Neville, 2nd Baron Latimer",the father of William Neville,"['William Neville', 'father', 'Richard Neville, 2nd Baron Latimer']","['Richard Neville, 2nd Baron Latimer', 'place of death', 'Snape, North Yorkshire']","Snape, North Yorkshire"
116,The place of birth of Vijaya Bhaskar is,The place of birth of the composer of Post Master is,Vijaya Bhaskar,the composer of Post Master,"['Post Master', 'composer', 'Vijaya Bhaskar']","['Vijaya Bhaskar', 'place of birth', 'Karnataka']",Karnataka
117,"The date of death of Louis de Luxembourg, Count of Saint-Pol is","The date of death of the father of John of Luxembourg, Count of Soissons is","Louis de Luxembourg, Count of Saint-Pol","the father of John of Luxembourg, Count of Soissons","['John of Luxembourg, Count of Soissons', 'father', 'Louis de Luxembourg, Count of Saint-Pol']","['Louis de Luxembourg, Count of Saint-Pol', 'date of death', '19 December 1475']",19 December 1475
118,The place of birth of Chris Christie is,The place of birth of the spouse of Mary Pat Christie is,Chris Christie,the spouse of Mary Pat Christie,"['Mary Pat Christie', 'spouse', 'Chris Christie']","['Chris Christie', 'place of birth', 'Newark']",Newark
119,The place of death of Muhammad ibn Tughj al-Ikhshid is,The place of death of the father of Abu'l-Hasan Ali ibn al-Ikhshid is,Muhammad ibn Tughj al-Ikhshid,the father of Abu'l-Hasan Ali ibn al-Ikhshid,"[""Abu'l-Hasan Ali ibn al-Ikhshid"", 'father', 'Muhammad ibn Tughj al-Ikhshid']","['Muhammad ibn Tughj al-Ikhshid', 'place of death', 'Damascus']",Damascus
120,Jim Henson was educated at,The creator of The Muppets on Puppets was educated at,Jim Henson,the creator of The Muppets on Puppets,"['The Muppets on Puppets', 'creator', 'Jim Henson']","['Jim Henson', 'educated at', 'University of Maryland, College Park']","University of Maryland, College Park"
121,The date of death of Lalla Abla bint Tahar is,The date of death of the mother of Princess Lalla Nuzha of Morocco is,Lalla Abla bint Tahar,the mother of Princess Lalla Nuzha of Morocco,"['Princess Lalla Nuzha of Morocco', 'mother', 'Lalla Abla bint Tahar']","['Lalla Abla bint Tahar', 'date of death', '1 March 1992']",1 March 1992
122,The place of burial of Bayezid II is,The place of burial of the spouse of Bülbül Hatun is,Bayezid II,the spouse of Bülbül Hatun,"['Bülbül Hatun', 'spouse', 'Sultan Bayezid II']","['Bayezid II', 'place of burial', 'Turkish']",Turkish
123,The place of birth of Joseph P. Kennedy is,The place of birth of the father of Patricia Helen Kennedy Lawford is,Joseph P. Kennedy,the father of Patricia Helen Kennedy Lawford,"['Patricia Helen Kennedy Lawford', 'father', 'Joseph P. Kennedy']","['Joseph P. Kennedy', 'place of birth', 'Boston']",Boston
124,The place of birth of Merle Haggard is,The place of birth of the performer of My Own Kind of Hat is,Merle Haggard,the performer of My Own Kind of Hat,"['My Own Kind of Hat', 'performer', 'Merle Haggard']","['Merle Haggard', 'place of birth', 'Bakersfield']",Bakersfield
125,The country of citizenship of Guy Green is,The country of citizenship of the director of The Devil's Advocate is,Guy Green,the director of The Devil's Advocate,"[""The Devil's Advocate"", 'director', 'Guy Green']","['Guy Green', 'country of citizenship', 'British']",British
126,The place of birth of Henrik Adam Due is,The place of birth of the father of Stephan Henrik Barratt-Due is,Henrik Adam Due,the father of Stephan Henrik Barratt-Due,"['Stephan Henrik Barratt-Due', 'father', 'Henrik Adam Due']","['Henrik Adam Due', 'place of birth', 'Saint Paul, Minnesota']","Saint Paul, Minnesota"
127,The date of birth of Benjamin Pierce is,The date of birth of the father of Benjamin Kendrick Pierce is,Benjamin Pierce,the father of Benjamin Kendrick Pierce,"['Benjamin Kendrick Pierce', 'father', 'Benjamin Pierce']","['Benjamin Pierce', 'date of birth', 'December 25, 1757']","December 25, 1757"
128,Nicholas Eversfield was educated at,The father of Edward Eversfield was educated at,Nicholas Eversfield,the father of Edward Eversfield,"['Edward Eversfield', 'father', 'Nicholas Eversfield']","['Nicholas Eversfield', 'educated at', 'Trinity College']",Trinity College
129,"The place of death of Mary of Burgundy, Duchess of Cleves is","The place of death of the mother of Adolph of Cleves, Lord of Ravenstein is","Mary of Burgundy, Duchess of Cleves","the mother of Adolph of Cleves, Lord of Ravenstein","['Adolph of Cleves, Lord of Ravenstein', 'mother', 'Marie of Burgundy']","['Mary of Burgundy, Duchess of Cleves', 'place of death', 'Kalkar']",Kalkar
130,The place of death of Richard Pottier is,The place of death of the director of Barry is,Richard Pottier,the director of Barry,"['Barry', 'director', 'Richard Pottier']","['Richard Pottier', 'place of death', 'Le Plessis-Bouchard']",Le Plessis-Bouchard
131,The place of birth of Yongle is,The place of birth of the spouse of Empress Xu is,Yongle,the spouse of Empress Xu,"['Empress Xu', 'spouse', 'Yongle Emperor']","['Yongle', 'place of birth', 'Nanjing']",Nanjing
132,The date of death of Ermengarde of Tours is,The date of death of the mother of Lothair II is,Ermengarde of Tours,the mother of Lothair II,"['Lothair II', 'mother', 'Ermengarde of Tours']","['Ermengarde of Tours', 'date of death', '20 March 851']",20 March 0851
133,The date of death of Yolande of Valois is,"The date of death of the mother of Philibert I, Duke of Savoy is",Yolande of Valois,"the mother of Philibert I, Duke of Savoy","['Philibert I, Duke of Savoy', 'mother', 'Yolande of Valois']","['Yolande of Valois', 'date of death', '23 August 1478']",23 August 1478
134,The child of Malena Ernman is,The child of the performer of La voix is,Malena Ernman,the performer of La voix,"['La voix', 'performer', 'Malena Ernman']","['Malena Ernman', 'child', 'Greta Thunberg']",Greta Thunberg
135,The place of birth of Carlos F. Borcosque is,The place of birth of the director of El Calavera is,Carlos F. Borcosque,the director of El Calavera,"['El Calavera', 'director', 'Carlos F. Borcosque']","['Carlos F. Borcosque', 'place of birth', 'Valparaíso']",Valparaíso
136,The country of citizenship of Anawrahta is,The country of citizenship of the spouse of Agga Mahethi of Pagan is,Anawrahta,the spouse of Agga Mahethi of Pagan,"['Agga Mahethi of Pagan', 'spouse', 'Anawrahta']","['Anawrahta', 'country of citizenship', 'Burma']",Burma
137,The date of death of Miklós Rózsa is,The date of death of the composer of Ben-Hur is,Miklós Rózsa,the composer of Ben-Hur,"['Ben-Hur', 'composer', 'Miklós Rózsa']","['Miklós Rózsa', 'date of death', '27 July 1995']",27 July 1995
138,The place of birth of Muhammad bin Saud is,The place of birth of the father of Imam Abdul Aziz bin Muhammad is,Muhammad bin Saud,the father of Imam Abdul Aziz bin Muhammad,"['Imam Abdul Aziz bin Muhammad', 'father', 'Muhammad bin Saud']","['Muhammad bin Saud', 'place of birth', 'Diriyah']",Diriyah
139,The place of death of Albert Capellani is,The place of death of the director of Camille is,Albert Capellani,the director of Camille,"['Camille', 'director', 'Albert Capellani']","['Albert Capellani', 'place of death', 'Paris']",Paris
140,The date of death of Vsevolod Meyerhold is,The date of death of the director of The Picture of Dorian Grey is,Vsevolod Meyerhold,the director of The Picture of Dorian Grey,"['The Picture of Dorian Grey', 'director', 'Vsevolod Meyerhold']","['Vsevolod Meyerhold', 'date of death', '2 February 1940']",2 February 1940
141,The place of birth of Nathan Juran is,The place of birth of the director of Highway Dragnet is,Nathan Juran,the director of Highway Dragnet,"['Highway Dragnet', 'director', 'Nathan Juran']","['Nathan Juran', 'place of birth', 'Gura Humorului']",Gura Humorului
142,The place of birth of Vlad Yudin is,The place of birth of the director of Jeremy Scott: The People's Designer is,Vlad Yudin,the director of Jeremy Scott: The People's Designer,"[""Jeremy Scott: The People's Designer"", 'director', 'Vlad Yudin']","['Vlad Yudin', 'place of birth', 'Russian']",Russian
143,"The place of burial of Henry Nevill, 2nd Earl of Abergavenny is","The place of burial of the father of William Nevill, 4th Earl of Abergavenny is","Henry Nevill, 2nd Earl of Abergavenny","the father of William Nevill, 4th Earl of Abergavenny","['William Nevill, 4th Earl of Abergavenny', 'father', 'Henry Nevill, 2nd Earl of Abergavenny']","['Henry Nevill, 2nd Earl of Abergavenny', 'place of burial', 'East Grinstead']",East Grinstead
144,The employer of Jacques Rivette is,The employer of the director of Around a Small Mountain is,Jacques Rivette,the director of Around a Small Mountain,"['Around a Small Mountain', 'director', 'Jacques Rivette']","['Jacques Rivette', 'employer', 'Cahiers du cinéma']",Cahiers du cinéma
145,The country of citizenship of Victor Sjöström is,The country of citizenship of the director of The Tower of Lies is,Victor Sjöström,the director of The Tower of Lies,"['The Tower of Lies', 'director', 'Victor Sjöström']","['Victor Sjöström', 'country of citizenship', 'Swedish']",Swedish
146,The country of citizenship of Billy Murray is,"The country of citizenship of the performer of Daddy, Come Home is",Billy Murray,"the performer of Daddy, Come Home","['Daddy, Come Home', 'performer', 'Billy Murray']","['Billy Murray', 'country of citizenship', 'United States']",United States
147,The place of death of Wolfgang Schleif is,The place of death of the director of Holiday in Tyrol is,Wolfgang Schleif,the director of Holiday in Tyrol,"['Holiday in Tyrol', 'director', 'Wolfgang Schleif']","['Wolfgang Schleif', 'place of death', 'Berlin']",Berlin
148,The date of birth of Charles Bretagne Marie de La Trémoille is,The date of birth of the father of Louis Charles de La Trémoille is,Charles Bretagne Marie de La Trémoille,the father of Louis Charles de La Trémoille,"['Louis Charles de La Trémoille', 'father', 'Charles Bretagne Marie de La Trémoille']","['Charles Bretagne Marie de La Trémoille', 'date of birth', '24 March 1764']",24 March 1764
149,The place of birth of Sturla Gunnarsson is,The place of birth of the director of Beowulf & Grendel is,Sturla Gunnarsson,the director of Beowulf & Grendel,"['Beowulf & Grendel', 'director', 'Sturla Gunnarsson']","['Sturla Gunnarsson', 'place of birth', 'Reykjavík']",Reykjavík
150,The place of burial of Augustus II the Strong is,The place of burial of the father of Maurice de Saxe is,Augustus II the Strong,the father of Maurice de Saxe,"['Maurice de Saxe', 'father', 'Augustus II the Strong']","['Augustus II the Strong', 'place of burial', 'Wawel Cathedral']",Wawel Cathedral
151,The place of birth of Jerome Storm is,The place of birth of the director of Arabian Love is,Jerome Storm,the director of Arabian Love,"['Arabian Love', 'director', 'Jerome Storm']","['Jerome Storm', 'place of birth', 'Denver']",Denver
152,The place of birth of Lasse Dahlquist is,"The place of birth of the composer of Oh boy, oh boy, oh boy! is",Lasse Dahlquist,"the composer of Oh boy, oh boy, oh boy!","['Oh boy, oh boy, oh boy!', 'composer', 'Lasse Dahlquist']","['Lasse Dahlquist', 'place of birth', 'Örgryte']",Örgryte
153,The date of death of Tommy Cooper is,The date of death of the father of Thomas Henty is,Tommy Cooper,the father of Thomas Henty,"['Thomas Henty', 'father', 'Tommy Cooper']","['Tommy Cooper', 'date of death', '15 April 1984']",15 April 1984
154,The place of death of Stanley Kubrick is,The place of death of the director of Killer's Kiss is,Stanley Kubrick,the director of Killer's Kiss,"[""Killer's Kiss"", 'director', 'Stanley Kubrick']","['Stanley Kubrick', 'place of death', 'Childwickbury Manor']",Childwickbury Manor
155,The date of birth of Jeff Garlin is,The date of birth of the director of I Want Someone to Eat Cheese With is,Jeff Garlin,the director of I Want Someone to Eat Cheese With,"['I Want Someone to Eat Cheese With', 'director', 'Jeff Garlin']","['Jeff Garlin', 'date of birth', 'June 5, 1962']","June 5, 1962"
156,The place of birth of Ioan S. Nenițescu is,The place of birth of the father of Ștefan I. Nenițescu is,Ioan S. Nenițescu,the father of Ștefan I. Nenițescu,"['Ștefan I. Nenițescu', 'father', 'Ioan S. Nenițescu']","['Ioan S. Nenițescu', 'place of birth', 'Galați']",Galați
157,The place of birth of Eduardo Duhalde is,The place of birth of the spouse of Hilda Beatriz González de Duhalde is,Eduardo Duhalde,the spouse of Hilda Beatriz González de Duhalde,"['Hilda Beatriz González de Duhalde', 'spouse', 'Eduardo Duhalde']","['Eduardo Duhalde', 'place of birth', 'Lomas de Zamora']",Lomas de Zamora
